comparison,A,B,C,D,E,G
A,NA,0.05029882514845532,0.8453592930347469,0.38808420319598796,0.9045003188313696,0.8692989250749257
B,0.050298956038574844,NA,0.10483380139847691,0.24896328177196742,0.04318543731931339,0.05232279935884303
C,0.8453620084413928,0.1048337682363512,NA,0.5580997932075442,0.7656195478181429,0.743514046482219
D,0.38808542528306117,0.2489637032234537,0.5581011231973445,NA,0.3385935042583281,0.34991539388095866
E,0.9044974184984038,0.043185304269758196,0.7656166624104059,0.33859225571958085,NA,0.9573166761231979
G,0.8692957715914896,0.05232268646250849,0.7435109760335522,0.3499140783567029,0.9573132098635809,NA
